ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-10 00:00:00,001,颗粒物,,20,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-10 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-10 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-10 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784DE5FD6DBCD0821F1E,2021-04-10 00:00:00,008,氯化氢,,50,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-10 00:00:00,001,颗粒物,,20,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-10 00:00:00,002,二氧化硫,,80,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-10 00:00:00,003,氮氧化物,,250,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-10 00:00:00,004,一氧化碳,,80,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
AC163D7A5128784D2BB2B21A968CBB29,AC163D7A5128784D3D460ABFD08E652E,2021-04-10 00:00:00,008,氯化氢,,50,通讯中断,0,0,2021-04-11T09:21:32.127,2021-04-11T09:21:32.127,20210410
